key,type,description,
ni118_sel,float,"selectivity of responses to natural images 118, range: [-1, 1]",
ni118_spar,float,"sparseness of responses to natural images 118, , range: [0, 1]",
spont_mean,float,mean of 10000 spontaneous samples,
spont_median,float,median of 10000 spontaneous samples,
spont_std,float,standard deviation of 10000 spontaneous samples,
dgcw_sel,float,"selectivity of responses to windowed drifting grating, range: [-1, 1]",
dgcw_spar,float,"sparseness of responses to windowed drifting grating, range: [0, 1]",
dgcf_sel,float,"selectivity of responses to fullfield drifting grating, range: [-1, 1]",
dgcf_spar,float,"sparseness of responses to fullfield drifting grating, range: [0, 1]",
roi_cen_ap_um,float,"roi center in anterior-posterior axis, in um,  anterior: small, posterior: large, center of column1: [0, 0]",
roi_cen_lm_um,float,"roi center in lateral-medial axis, in um,  lateral: small, medial: large, center of column1: [0, 0]",
ni12_pw_corr,float,mean pairwise correlation coefficient to natural images 12 stimulus,
nm120_sh_resp,float,split half response peak amplitude to 120 second natural movie,
nm120_sh_resp_std,float,split half response standard deviation to 120 second natural movie,
nm 120_sel,float,selectivity of responses to 120 second natural movie,
nm120_spar,float,sparseness of response to 120 second natural movie,
nm030_sh_resp,float,split half response peak amplitude to 30 second natural movie,
nm030_sh_resp_std,float,split half response standard deviation to 30 second natural movie,
nm 030_sel,float,selectivity of responses to 30 second natural movie,
nm030_spar,float,sparseness of response to 30 second natural movie,
ni118_sh_resp,float,split half response peak amplitude to natural images 118,
ni118_sh_resp_std,float,split half response standard deviation to natural images 118,
dgcw_shw_pref_dire,float,"preferred direction (in degrees) to windowed drifting grating, split-half validation using windowed responses, vector sum across split-half iterations weighted by response",
dgcw_shw_pref_sf,float,"preferred spatial frequency (in cpd) to windowed drifting grating, split-half validation using windowed responses, mean across split-half iterations",
dgcw_shw_resp,float,"mean response to optimal conditions of windowed drifting grating, split-half validation using windowed responses, mean across split-half iterations",
dgcw_shw_resp_std,float,"standard deviation response to optimal conditions of windowed drifting grating, split-half validation using windowed responses, standard deviation across split-half iterations",
dgcw_shw_osi,float,"OSI to windowed drifting grating, split-half validation using windowed responses, mean across split-half iterations",
dgcw_shw_gosi,float,"gOSI to windowed drifting grating, split-half validation using windowed responses, mean across split-half iterations",
dgcw_shw_dsi,float,"DSI to windowed drifting grating, split-half validation using windowed responses, mean across split-half iterations",
dgcw_shw_gdsi,float,"gDSI to windowed drifting grating, split-half validation using windowed responses, mean across split-half iterations",
dgcf_shw_resp,float,"mean response to optimal conditions of fullfield drifting grating, split-half validation using windowed responses, mean across split-half iterations",
dgcf_shw_resp_std,float,"standard deviation response to optimal conditions of fullfield drifting grating, split-half validation using windowed responses, standard deviation across split-half iterations",
dgcf_shw_osi,float,"OSI to fullfield drifting grating, split-half validation using windowed responses, mean across split-half iterations",
dgcf_shw_gosi,float,"gOSI to fullfield drifting grating, split-half validation using windowed responses, mean across split-half iterations",
dgcf_shw_dsi,float,"DSI to fullfield drifting grating, split-half validation using windowed responses, mean across split-half iterations",
dgcf_shw_gdsi,float,"gDSI to fullfield drifting grating, split-half validation using windowed responses, mean across split-half iterations",
dgcf_shf_pref_dire,float,"preferred direction (in degrees) to fullfield drifting grating, split-half validation using fullfield responses, vector sum across split-half iterations weighted by response",
dgcf_shf_pref_sf,float,"preferred spatial frequency (in cpd) to fullfield drifting grating, split-half validation using fullfieldresponses, mean across split-half iterations",
dgcw_shf_resp,float,"mean response to optimal conditions of windowed drifting grating, split-half validation using fullfield responses, mean across split-half iterations",
dgcw_shf_resp_std,float,"standard deviation response to optimal conditions of windowed drifting grating, split-half validation using fullfield responses, standard deviation across split-half iterations",
dgcw_shf_osi,float,"OSI to windowed drifting grating, split-half validation using fullfield responses, mean across split-half iterations",
dgcw_shf_gosi,float,"gOSI to windowed drifting grating, split-half validation using fullfield responses, mean across split-half iterations",
dgcw_shf_dsi,float,"DSI to windowed drifting grating, split-half validation using fullfield responses, mean across split-half iterations",
dgcw_shf_gdsi,float,"gDSI to windowed drifting grating, split-half validation using fullfield responses, mean across split-half iterations",
dgcf_shf_resp,float,"mean response to optimal conditions of fullfield drifting grating, split-half validation using fullfield responses, mean across split-half iterations",
dgcf_shf_resp_std,float,"standard deviation response to optimal conditions of fullfield drifting grating, split-half validation using fullfield responses, standard deviation across split-half iterations",
dgcf_shf_osi,float,"OSI to fullfield drifting grating, split-half validation using fullfield responses, mean across split-half iterations",
dgcf_shf_gosi,float,"gOSI to fullfield drifting grating, split-half validation using fullfield responses, mean across split-half iterations",
dgcf_shf_dsi,float,"DSI to fullfield drifting grating, split-half validation using fullfield responses, mean across split-half iterations",
dgcf_shf_gdsi,float,"gDSI to fullfield drifting grating, split-half validation using fullfield responses, mean across split-half iterations",
dgc_shw_iter_num,int,"number of drifting grating split-half iteration, based on windowed responses",
dgcw_shw_iter_num_2,int,"number of drifting grating split-half iterations that have windowed response zscore no less than 2, based on windowed responses",
dgcw_shw_iter_num_2,int,"number of drifting grating split-half iterations that have windowed response zscore no less than 3, based on windowed responses",
dgcf_shw_iter_num_2,int,"number of drifting grating split-half iterations that have full field response zscore no less than 2, based on windowed responses",
dgcf_shw_iter_num_2,int,"number of drifting grating split-half iterations that have full field response zscore no less than 3, based on windowed responses",
dgc_shf_iter_num,int,"number of drifting grating split-half iteration, based on fullfield responses",
dgcw_shf_iter_num_2,int,"number of drifting grating split-half iterations that have windowed response zscore no less than 2, based on fullfield responses",
dgcw_shf_iter_num_2,int,"number of drifting grating split-half iterations that have windowed response zscore no less than 3, based on fullfield responses",
dgcf_shf_iter_num_2,int,"number of drifting grating split-half iterations that have full field response zscore no less than 2, based on fullfield responses",
dgcf_shf_iter_num_2,int,"number of drifting grating split-half iterations that have full field response zscore no less than 3, based on fullfield responses",
rf_dis_alt,float,"distance between the dominant receptive field center (ON or OFF) to the center of windowed drifting gratings, altitude, in visual degrees",
rf_dis_azi,float,"distance between the dominant receptive field center (ON or OFF) to the center of windowed drifting gratings, azimuth, in visual degrees",
pop_rf_alt,float,"population receptive field center for the given plane defined as the avearge of all significan receptive fields in the plane weighted by receptive field areas, altitude, in degrees",
pop_rf_azi,float,"population receptive field center for the given plane defined as the avearge of all significan receptive fields in the plane weighted by receptive field areas, azimuth, in degrees",
pop_rf_dis_alt,float,"distance between population receptive field center and windowed drifting grating center, altitude, in degrees",
pop_rf_dis_azi,float,"distance between population receptive field center and windowed drifting grating center, azimuth, in degrees",
